key,cz,en,ru
cw_cultisys_blood_0,小巫,Blood Level 0,Малый шаман 0 уровня
cw_cultisys_blood_1,小巫,Blood Level 1,Малый шаман 1 уровня
cw_cultisys_blood_2,大巫,Blood Level 2,Великий шаман 2 уровня
cw_cultisys_blood_3,大巫,Blood Level 3,Великий шаман 3 уровня
cw_cultisys_blood_4,兵巫,Blood Level 4,Боевой шаман 4 уровня
cw_cultisys_blood_5,兵巫,Blood Level 5,Боевой шаман 5 уровня
cw_cultisys_blood_6,战巫,Blood Level 6,Шаман войны 6 уровня
cw_cultisys_blood_7,战巫,Blood Level 7,Шаман войны 7 уровня
cw_cultisys_blood_8,地巫,Blood Level 8,Земной шаман 8 уровня
cw_cultisys_blood_9,地巫,Blood Level 9,Земной шаман 9 уровня
cw_cultisys_blood_10,天巫,Blood Level 10,Небесный шаман 10 уровня
cw_cultisys_blood_11,天巫,Blood Level 11,Небесный шаман 11 уровня
cw_cultisys_blood_12,巫君,Blood Level 12,Шаман-правитель 12 уровня
cw_cultisys_blood_13,巫君,Blood Level 13,Шаман-правитель 13 уровня
cw_cultisys_blood_14,巫王,Blood Level 14,Царь шаманов 14 уровня
cw_cultisys_blood_15,巫王,Blood Level 15,Царь шаманов 15 уровня
cw_cultisys_blood_16,巫尊,Blood Level 16,Повелитель шаманов 16 уровня
cw_cultisys_blood_17,巫尊,Blood Level 17,Повелитель шаманов 17 уровня
cw_cultisys_blood_18,祖巫,Blood Level 18,Первопредок шаманов 18 уровня
cw_cultisys_blood_19,祖巫,Blood Level 19,Первопредок шаманов 19 уровня
